bbd_qyxx_id,company_name,frname,esdate,regcap,operate_scope,address,regorg,company_gis_lat,company_gis_lon,extracted_word,location
1e1178e2248744eebfc70583049292cc,重庆宠悦企业管理有限公司,李小许,2020/11/9,200.000000万,许可项目：动物诊疗，兽药经营，宠物饲养，建设工程设计（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准） 一般项目：企业管理，企业管理咨询，信息咨询服务（不含许可类信息咨询服务），企业形象策划，市场营销策划，会议及展览服务，宠物食品及用品批发，宠物食品及用品零售，宠物销售（不含犬类），宠物销售，宠物服务（不含动物诊疗），技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广，信息技术咨询服务，组织文化艺术交流活动，非居住房地产租赁，物业管理，园林绿化工程施工，游览景区管理，公园、景区小型设施娱乐活动，城市公园管理，游乐园服务，游艺及娱乐用品销售，互联网销售（除销售需要许可的商品）（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,重庆市渝北区卉竹路2号10幢3层1号,重庆两江新区市场监督管理局,29.72392734,106.6375591,园林绿化,"106.631187,29.718143"
391b17ae1c8444a8adcb40cdaffb1c45,重庆瀚泽工程项目管理有限公司,侯嵩山,2019/5/21,5000.000000万,一般项目：工程项目管理;工程设计;工程造价咨询;工程监理;工程勘察设计（依法须经审批的经营项目，取得审批后方可从事经营）;计算机领域内的技术开发、技术咨询、技术转让、技术服务;检验检测服务（依法须经审批的经营项目，取得审批后方可从事经营）;测绘服务;从事建筑相关业务;城市园林绿化设计、施工（依法须经审批的经营项目，取得审批后方可从事经营）。【依法须经批准的项目，经相关部门批准后方可开展经营活动】（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,重庆市江北区鱼嘴镇工农路23号1层8号,重庆两江新区市场监督管理局,0.0,0.0,园林绿化,"106.760411,29.624643"
5aa6f1477ce44be59c7d4efc7a4146f3,重庆银樽实业有限公司,李佳熹,2017/5/8,2000.000000万,研发、生产、维修、销售：阀门、管件、汽车零部件、摩托车零部件、消防设备及器材;销售：普通机械设备及配件、环保成套设备及配件、水处理设备及配件、家用电器、日用品、劳保用品、仪器仪表、电线、电缆、石材、钢材、装饰材料（不含危险化学品）、化工产品（不含危险化学品）、初级农产品;蔬菜、农作物种植;环保技术咨询;环境污染治理;从事建筑相关业务（取得相关资质后方可执业）;货物及技术进出口业务。【以上经营范围依法须经批准的项目，经相关部门批准后方可开展经营活动】,重庆市渝北区龙兴镇迎龙大道19号,重庆两江新区市场监督管理局,29.70255143,106.8016374,污染治理,"106.795420,29.696195"
5c149fdb4c6a49a79b68bddbcc247df8,重庆达文发建材有限公司,龙敏才,2020/12/30,100.000000万,一般项目：建筑材料销售，电线、电缆经营，五金产品批发，生态环境材料销售，建筑砌块销售，轻质建筑材料销售，机械设备销售，日用品销售，五金产品零售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,重庆市渝北区悦来街道悦城路19号6幢26-8,重庆两江新区市场监督管理局,29.74065207,106.5601652,生态环境,"106.539360,29.729541"
6f5b8bb1f5694080b5f175956a98e51a,重庆市照母山森林公园管理有限公司,邓礼中,2011/8/29,200.000000万,公园管理;从事建筑相关业务（凭资质证执业）;园林绿化养护管理;技术咨询;盆花租赁（法律、法规禁止的不得经营;法律、法规限制的取得许可或审批后方可经营）。**,重庆市渝北区万年路309号6幢1-2-2号,重庆两江新区市场监督管理局,29.62766913,106.5420865,园林绿化,"106.535169,29.622619"
8fa58e1f115b4573bb34143058268126,重庆彬雨园林绿化有限公司,周国凤,2010/7/23,105万,苗木种植、养护、销售；城市园林绿化工程设计及施工（依法须经批准的经营项目，经相关部门批准后方可开展经营活动）；园林养护管理。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,重庆市北部新区金开大道62附5号,重庆两江新区市场监督管理局,29.632782000000002,106.53974529999999,园林绿化,"106.531439,29.624669"
8fddeb83f9d04e9b8d03628c70fff576,重庆元若建筑科技有限公司,李波,2021/7/27,100万,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；市场营销策划；信息咨询服务（不含许可类信息咨询服务）；咨询策划服务；销售代理；合同能源管理；企业管理咨询；人工智能公共服务平台技术咨询服务；资源循环利用服务技术咨询；安全咨询服务；工程造价咨询业务；健康咨询服务（不含诊疗服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,重庆两江新区大竹林街道金开大道西段210号3楼3号附21-06-002441号,重庆两江新区市场监督管理局,29.63031608,106.4847922,资源循环利用,"106.497920,29.628875"
9d9f5d36fd4345d09dfd9a884908ba00,重庆朗森装饰工程有限公司,郑晓东,2009/9/28,1000.000000万,许可项目：建筑劳务分包，各类工程建设活动（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准） 一般项目：建筑工程设计、施工（依法须经批准的经营项目，经相关部门批准后方可开展经营活动）;室内装饰设计;城市园林绿化设计及施工（依法须经批准的经营项目，经相关部门批准后方可开展经营活动）;车库智能系统的设计开发及安装;标识标牌的设计及安装;停车库设备的设计、安装;地坪材料销售、安装;研发、设计、制作、安装、销售：道路交通安全标志、标识、道路交通设备、电子显示屏、充电桩及其附件、市政设施、监控设备;销售：建筑材料（不含危险化学品）、装饰材料（不含危险化学品）、五金交电、塑料制品、橡胶制品、劳保用品，劳务服务（不含劳务派遣），地板销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,重庆市北部新区栖霞路18号19幢1单元9-14,重庆两江新区市场监督管理局,29.6431196,106.574646,园林绿化,"106.566905,29.635351"
ab92bfdfcd984b3fa7a9a677e30b1086,重庆渝光行文化传媒有限公司,吴成波,2020/7/2,200.000000万,许可项目：各类工程建设活动，建设工程设计，包装装潢印刷品印刷（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准） 一般项目：市场营销策划，打字复印，图文设计制作，广告设计、代理，广告制作，广告发布（非广播电台、电视台、报刊出版单位），交通及公共管理用标牌销售，办公设备销售，交通及公共管理用金属标牌制造，组织文化艺术交流活动，专业设计服务，平面设计，工业设计服务，企业形象策划，信息咨询服务（不含许可类信息咨询服务），摄影扩印服务，摄像及视频制作服务，办公用品销售，办公设备耗材销售，计算机软硬件及辅助设备零售，园林绿化工程施工，普通机械设备安装服务（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,重庆市北部新区金童路9号附13号,重庆两江新区市场监督管理局,29.64623485,106.5754207,园林绿化,"106.562503,29.637230"
b4075f96ddb8488e8b69e9f972035aec,重庆瀚霖园林景观设计有限公司,吕婧,2021/4/25,100.000000万,一般项目：园林绿化工程施工;规划设计管理;图文设计制作;广告设计、代理;广告制作;工业设计服务;城市绿化管理;土石方工程施工;机械设备租赁;机械设备销售;肥料销售;金属工具销售;初级农产品收购;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;工艺美术品及礼仪用品销售（象牙及其制品除外）;礼品花卉销售;花卉种植;农副产品销售;水产品零售;水产品批发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,重庆两江新区大竹林街道黄山大道中段55号附2号麒麟D座11层1号,重庆两江新区市场监督管理局,29.61983745,106.5043304,园林绿化,"106.497865,29.614757"
